mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,Car model
18,8,318,150,3436,11,70,1,plymouth
14,8,455,225,3086,10,70,1,buick
24,4,107,90,2430,14.5,70,2,audi
28,4,140,90,2264,15.5,71,1,chevrolet
25,4,98,?,2046,19,71,1,ford
19,6,250,100,3282,15,71,1,pontiac
14,8,351,153,4129,13,72,1,ford
13,8,360,175,3821,11,73,1,amc
22,4,108,94,2379,16.5,73,3,datsun
19,4,121,112,2868,15.5,73,2,volvo
20,6,198,95,3102,16.5,74,1,plymouth
31,4,79,67,1950,19,74,3,datsun
16,6,250,100,3781,17,74,1,chevrolet
32,4,83,61,2003,19,74,3,datsun
15,8,350,145,4440,14,75,1,chevrolet
16,6,250,105,3897,18.5,75,1,chevroelt
20,8,262,110,3221,13.5,75,1,chevrolet
29,4,97,75,2171,16,75,3,toyota
22,4,121,?,2945,14.5,75,2,volvo
25,4,121,115,2671,13.5,75,2,saab
24,6,200,81,3012,17.6,76,1,ford
22.5,6,232,90,3085,17.6,76,1,amc
29,4,90,70,1937,14.2,76,2,vw
13,8,350,145,4055,12,76,1,chevy
33.5,4,85,70,1945,16.8,77,3,datsun
17,8,260,110,4060,19,77,1,oldsmobile
16,8,400,180,4220,11.1,77,1,pontiac
25.5,4,140,89,2755,15.8,77,1,ford
30,4,97,67,1985,16.4,77,3,subaru
19.4,6,232,90,3210,17.2,78,1,amc
20.6,6,231,105,3380,15.8,78,1,buick
18.1,8,302,139,3205,11.2,78,1,ford
17.5,8,318,140,4080,13.7,78,1,dodge
27.2,4,119,97,2300,14.7,78,3,datsun
23.9,4,119,97,2405,14.9,78,3,datsun
19.8,6,200,85,2990,18.2,79,1,mercury
23,8,350,125,3900,17.4,79,1,cadillac
34.5,4,105,70,2150,14.9,79,1,plymouth
28.8,6,173,115,2595,11.3,79,1,chevrolet
36.4,5,121,67,2950,19.9,80,2,audi
44.6,4,91,67,1850,13.8,80,3,honda
27.2,4,135,84,2490,15.7,81,1,plymouth
32.4,4,108,75,2350,16.8,81,3,toyota
25.4,6,168,116,2900,12.6,81,3,toyota
24.2,6,146,120,2930,13.8,81,3,datsun
34,4,112,88,2395,18,82,1,chevrolet
37,4,91,68,2025,18.2,82,3,mazda
38,4,105,63,2125,14.7,82,1,plymouth
38,6,262,85,3015,17,82,1,oldsmobile
36,4,120,88,2160,14.5,82,3,nissan
25,6,181,110,2945,16.4,82,1,buick
22,6,232,112,2835,14.7,82,1,ford
28,4,120,79,2625,18.6,82,1,ford
